title,author,average_rating,number_of_ratings,genres
Lolita,Vladimir Nabokov,3.88,"794,964","['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature']"
The Metamorphosis,Franz Kafka,3.85,"918,431","['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Literature', 'Short Stories', 'School']"
The Time Traveler's Wife,Audrey Niffenegger,3.99,"1,736,216","['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']"
Siddhartha,Hermann Hesse,4.06,"720,467","['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism']"
The Stranger,Albert Camus,4.01,"960,905","['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
Goodnight Moon,Margaret Wise Brown,4.3,"358,773","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals']"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"3,597,747","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
A Tree Grows in Brooklyn,Betty  Smith,4.29,"442,856","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']"
War and Peace,Leo Tolstoy,4.15,"310,975","['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'War']"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.35,"150,166","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
A Clockwork Orange,Anthony Burgess,4,"681,585","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels']"
All Quiet on the Western Front,Erich Maria Remarque,4.05,"427,431","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']"
The Stand,Stephen King,4.34,"722,312","['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia']"
Don Quixote,Miguel de Cervantes Saavedra,3.89,"254,292","['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Historical Fiction', 'Novels']"
Uncle Tom's Cabin,Harriet Beecher Stowe,3.9,"219,238","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'American', 'Novels']"
القرآن الكريم,Anonymous,4.38,"65,695","['Religion', 'Islam', 'Nonfiction', 'Classics', 'Philosophy', 'Reference', 'Spirituality']"
Atlas Shrugged,Ayn Rand,3.69,"380,464","['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']"
The Brothers Karamazov,Fyodor Dostoevsky,4.36,"304,800","['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']"
The Poisonwood Bible,Barbara Kingsolver,4.09,"716,880","['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature']"
