title,author,gender,birth_year,age,language,first_published,sales,genres
The Dukan Diet,Pierre Dukan,M,1941,59,French,2000,10,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Adventure', 'Suspense', 'Audiobook', 'Animals', 'Novels', 'Adult']"
Fahrenheit 451,Ray Bradbury,M,1920,33,English,1953,10,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels']"
Life After Life,Raymond Moody,M,1944,31,English,1975,13,"['Fiction', 'Historical Fiction', 'Fantasy', 'Historical', 'Time Travel', 'Audiobook', 'Literary Fiction']"
The Secret,Rhonda Byrne,F,1951,55,English,2006,20,"['Self Help', 'Nonfiction', 'Spirituality', 'Psychology', 'Philosophy', 'Personal Development', 'Inspirational']"
Watership Down,Richard Adams,M,1920,52,English,1972,50,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']"
Jonathan Livingston Seagull,Richard Bach,M,1936,34,English,1970,44,"['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help']"
What Color Is Your Parachute?,Richard Nelson Bolles,M,1927,43,English,1970,10,"['Nonfiction', 'Business', 'Self Help', 'Reference', 'Personal Development', 'Psychology', 'Management']"
The Purpose Driven Life,Rick Warren,M,1954,48,English,2002,33,"['Christian', 'Nonfiction', 'Religion', 'Self Help', 'Spirituality', 'Christianity', 'Faith']"
James and the Giant Peach,Roald Dahl,M,1916,45,English,1961,28,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Adventure']"
Charlie and the Chocolate Factory,Roald Dahl,M,1916,48,English,1964,20,"['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Young Adult', 'Middle Grade', 'Humor']"
Matilda,Roald Dahl,M,1916,72,English,1988,17,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']"
The Bridges of Madison County,Robert James Waller,M,1939,53,English,1992,60,"['Fiction', 'Romance', 'Classics', 'Chick Lit', 'Contemporary', 'Novels', 'Adult']"
The Gospel According to Peanuts,Robert L. Short,M,1932,33,English,1965,10,"['Religion', 'Christian', 'Nonfiction', 'Comics', 'Humor', 'Thelogy', 'Spirituality', 'Christianity', 'Philisophy', 'Art']"
Love You Forever,Robert Munsch,M,1945,41,English,1986,20,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids']"
The Outsiders,S. E. Hinton,F,1950,17,English,1967,15,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age']"
Guess How Much I Love You,Sam McBratney,M,1943,51,English,1994,15,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Classics', 'Family', 'Love']"
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,M,1913,23,Russian,1936,21,"['Poetry', 'Russian Literature', 'Childrens', 'Russia']"
The Hite Report,Shere Hite,F,1942,34,English,1976,50,"['Nonfiction', 'Feminism', 'Sexuality', 'Psychology', 'Sociology', 'Science', 'Womens', 'Gender', 'Relationships', 'Reference']"
Who Moved My Cheese?,Spencer Johnson,M,1938,60,English,1998,29,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Leadership', 'Personal Development', 'Management']"
A Brief History of Time,Stephen Hawking,M,1942,46,English,1988,25,"['Science', 'Nonfiction', 'Physics', 'History', 'Classics', 'Astronomy', 'Philosophy']"
The 7 Habits of Highly Effective People,Stephen R. Covey,M,1932,57,English,1989,25,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity']"
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,M,1954,51,Swedish,2005,30,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,F,1946,36,English,1982,20,"['Fiction', 'Young Adult', 'Humor', 'Comedy', 'Childrens', 'Contemporary', 'British Literature']"
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,F,1957,37,Italian,1994,14,"['Fiction', 'Romance', 'Italian Literature', 'Novels', 'Italy', 'Contemporary', 'Literature', 'Roman', 'Drama', 'Womens']"
